時間,設備,值
2024-10-26 10:33:05,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:05,SA-37/LINE_LEVEL,544
2024-10-26 10:33:07,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:07,SA-37/LINE_LEVEL,560
2024-10-26 10:33:11,SA-37/LINE_LEVEL,576
2024-10-26 10:33:13,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:13,SA-37/LINE_LEVEL,560
2024-10-26 10:33:15,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:17,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:17,SA-37/LINE_LEVEL,576
2024-10-26 10:33:19,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:19,SA-37/LINE_LEVEL,560
2024-10-26 10:33:21,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:27,SA-37/LINE_LEVEL,544
2024-10-26 10:33:29,SA-37/LINE_LEVEL,560
2024-10-26 10:33:31,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:33,SA-37/LINE_LEVEL,544
2024-10-26 10:33:37,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:39,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:41,SA-37/LINE_LEVEL,560
2024-10-26 10:33:43,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:49,SA-37/LINE_LEVEL,544
2024-10-26 10:33:53,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:53,SA-37/LINE_LEVEL,560
2024-10-26 10:33:55,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:57,SA-37/TEMPERATURE,27.98069
2024-10-26 10:33:57,SA-37/LINE_LEVEL,544
2024-10-26 10:33:59,SA-37/TEMPERATURE,27.51254
2024-10-26 10:34:03,SA-37/TEMPERATURE,27.98069
2024-10-26 10:34:07,SA-37/TEMPERATURE,27.51254
2024-10-26 10:34:07,SA-37/LINE_LEVEL,560
2024-10-26 10:34:21,SA-37/LINE_LEVEL,544
2024-10-26 10:34:23,SA-37/TEMPERATURE,27.98069
2024-10-26 10:34:23,SA-37/LINE_LEVEL,560
2024-10-26 10:34:29,SA-37/TEMPERATURE,27.51254
2024-10-26 10:34:29,SA-37/LINE_LEVEL,544
2024-10-26 10:34:33,SA-37/LINE_LEVEL,560
2024-10-26 10:34:35,SA-37/TEMPERATURE,27.98069
2024-10-26 10:34:35,SA-37/LINE_LEVEL,544
2024-10-26 10:34:37,SA-37/TEMPERATURE,27.51254
2024-10-26 10:34:39,SA-37/LINE_LEVEL,560
2024-10-26 10:34:41,SA-37/LINE_LEVEL,544
2024-10-26 10:34:43,SA-37/LINE_LEVEL,560
2024-10-26 10:34:47,SA-37/LINE_LEVEL,544
2024-10-26 10:34:51,SA-37/LINE_LEVEL,560
2024-10-26 10:34:53,SA-37/LINE_LEVEL,544
